section,percentile,logit_diff_1m0,p1_from_logit
IS,39,-3.7300000000000004,0.023430667673670306
IS,40,-3.5,0.02931223075135632
IS,41,-3.125,0.042087727915618836
IS,42,-2.9399999999999977,0.05021127319026664
IS,43,-2.625,0.0675466911396291
IS,44,-2.125,0.10669059394565118
IS,45,-1.75,0.14804719803168948
IS,46,-0.5,0.3775406687981454
IS,47,-0.03999999999999915,0.4900013331200348
IS,48,0.9050000000000011,0.7119759194127937
IS,49,1.6950000000000003,0.8448805773736964
IS,50,2.625,0.9324533088603709
IS,51,4.039999999999999,0.9827068434300946
IS,52,5.109999999999999,0.9940001327725162
IS,53,5.875,0.9971990730328789
IS,54,6.75,0.9988304897349445
IS,55,7.375,0.9993736658418905
IS,56,7.625,0.9995121428772178
IS,57,8.009999999999998,0.9996679855512215
IS,58,8.439999999999998,0.9997839965173034
IS,59,8.625,0.9998204720306533
IS,60,9.0,0.9998766054240137
IS,61,9.25,0.9999038975845005
IS,62,9.375,0.9999151889582765
IS,63,9.625,0.9999339478551454
IS,64,9.645000000000003,0.999935255690564
IS,65,9.825000000000003,0.9999459204301939
IS,66,10.0,0.9999546021312976
IS,67,10.0,0.9999546021312976
IS,68,10.125,0.9999599363077709
IS,69,10.125,0.9999599363077709
IS,70,10.25,0.9999646437492582
IS,71,10.279999999999994,0.9999656886485316
IS,72,10.375,0.9999687980886061
IS,73,10.375,0.9999687980886061
IS,74,10.445,0.9999709074692781
IS,75,10.5,0.9999724643088853
IS,76,10.5,0.9999724643088853
IS,77,10.625,0.9999756997592568
IS,78,10.625,0.9999756997592568
IS,79,10.75,0.9999785550515792
IS,80,10.75,0.9999785550515792
IS,81,10.875,0.999981074851754
IS,82,10.884999999999991,0.999981263156597
IS,83,11.0,0.999983298578152
IS,84,11.120000000000005,0.9999851871396652
IS,85,11.125,0.9999852610180254
IS,86,11.230000000000004,0.9999867301135954
IS,87,11.375,0.999988521231873
IS,88,11.375,0.999988521231873
IS,89,11.5,0.9999898700090192
IS,90,11.5,0.9999898700090192
IS,91,11.625,0.9999910603036951
IS,92,11.685000000000002,0.9999915809066962
IS,93,11.75,0.9999921107374138
IS,94,11.795000000000002,0.9999924578822158
IS,95,11.875,0.9999930377437499
IS,96,12.0,0.9999938558253978
IS,97,12.125,0.9999945777810301
IS,98,12.25,0.9999952149055051
IS,99,12.444999999999993,0.9999960626550697
IS,100,13.125,0.9999980052702785
LC,0,-7.125,0.0008040859356292356
LC,1,-6.625,0.0013250224172131609
LC,2,-6.375,0.001700722411435288
LC,3,-6.25,0.0019267346633274757
LC,4,-6.125,0.0021827164453451808
LC,5,-6.03125,0.0023967308701289603
LC,6,-6.0,0.0024726231566347743
LC,7,-5.875,0.0028009269671209736
LC,8,-5.875,0.0028009269671209736
LC,9,-5.75,0.0031726828424851893
LC,10,-5.75,0.0031726828424851893
LC,11,-5.75,0.0031726828424851893
LC,12,-5.625,0.00359360258142009
LC,13,-5.5,0.004070137715896128
LC,14,-5.5,0.004070137715896128
LC,15,-5.375,0.004609572179374208
LC,16,-5.375,0.004609572179374208
LC,17,-5.25,0.005220125693558397
LC,18,-5.25,0.005220125693558397
LC,19,-5.125,0.005911068856243796
LC,20,-5.125,0.005911068856243796
LC,21,-5.0,0.0066928509242848554
LC,22,-5.0,0.0066928509242848554
LC,23,-5.0,0.0066928509242848554
LC,24,-4.875,0.007577241267860811
LC,25,-4.875,0.007577241267860811
LC,26,-4.75,0.008577485413711984
LC,27,-4.75,0.008577485413711984
LC,28,-4.625,0.009708476481474066
LC,29,-4.625,0.009708476481474066
LC,30,-4.5,0.01098694263059318
LC,31,-4.5,0.01098694263059318
LC,32,-4.375,0.01243165085318582
LC,33,-4.375,0.01243165085318582
LC,34,-4.375,0.01243165085318582
LC,35,-4.25,0.014063627043245475
LC,36,-4.125,0.015906391711814714
LC,37,-4.125,0.015906391711814714
LC,38,-4.0,0.01798620996209156
LC,39,-3.9187499999999993,0.01947894462768991
LC,40,-3.75,0.022977369910025615
LC,41,-3.75,0.022977369910025615
LC,42,-3.5375000000000014,0.02826386961154292
LC,43,-3.375,0.033085978388704126
LC,44,-3.25,0.03732688734412946
LC,45,-3.15625,0.040845715909949315
LC,46,-3.0,0.04742587317756678
LC,47,-2.9437500000000014,0.05003273665880502
LC,48,-2.7749999999999986,0.05869017499209127
LC,49,-2.5,0.07585818002124355
LC,50,-2.375,0.08509904500702024
LC,51,-2.143749999999997,0.1049167079447927
LC,52,-1.625,0.16451646289656316
LC,53,-1.0,0.2689414213699951
LC,54,-0.38749999999999574,0.4043192693921538
LC,55,0.03125,0.5078118642792044
LC,56,0.375,0.5926665999540697
LC,57,0.8687499999999986,0.704485532448306
LC,58,1.4124999999999943,0.8041599598359649
LC,59,2.0,0.8807970779778823
LC,60,2.75,0.9399133498259924
LC,61,3.375,0.9669140216112958
LC,62,3.5874999999999986,0.9730774643355458
LC,63,3.8812500000000014,0.9797917675780538
